Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N3C2W2_CL2_3_3_E.BPPFI, CL2_3_3,200,0,0.020408163,48,48,49,49,0,4549242,7119,3671453,3671453,0.007,150.001,2162.385,1206.241,3600.43
N3C2W2_CL2_3_4_A.BPPFI, CL2_3_4,200,0,0.023809524,41,41,42,42,0,3844303,6076,3186686,3186686,0.006,150.001,2136.021,1230.736,3600.538
N3C2W2_CL2_3_4_B.BPPFI, CL2_3_4,200,0,0.024390244,40,40,41,41,0,5919341,15364,4950075,4950075,0.005,150.001,2082.258,1254.453,3600.083
N3C2W2_CL2_3_4_C.BPPFI, CL2_3_4,200,0,0.047619048,40,40,42,42,0,6823939,18751,5694650,5694650,0.007,150.001,2019.028,1308.031,3600.197
N3C2W2_CL2_3_4_D.BPPFI, CL2_3_4,200,0,0.023809524,41,41,42,42,0,3219959,4443,2629349,2629349,0.007,150.001,2149.052,1225.612,3600.674
N3C2W2_CL2_3_4_E.BPPFI, CL2_3_4,200,0,0.023255814,42,42,43,43,0,3279249,4683,2670396,2670396,0.006,150.001,2087.107,1289.411,3600.414
N3C2W4_CL1_1_3_A.BPPFI, CL1_1_3,200,0,0.018181818,54,54,55,55,0,4364647,6766,3459225,3459225,0.005,150,2157.78,1217.52,3600.334
N3C2W4_CL1_1_3_B.BPPFI, CL1_1_3,200,0,0.036363636,53,53,55,55,0,4634550,6958,3699688,3699688,0.005,150.001,2162.099,1211.186,3600.053
N3C2W4_CL1_1_3_C.BPPFI, CL1_1_3,200,0,0.033333333,58,58,60,60,0,10457697,37960,8254425,8254425,0.005,150.001,1999.159,1322.806,3600.099
N3C2W4_CL1_1_3_D.BPPFI, CL1_1_3,200,0,0.035714286,54,54,57,56,0,5875640,14016,4694306,4694306,0.005,150.001,2112.332,1252.324,3600.223
N3C2W4_CL1_1_3_E.BPPFI, CL1_1_3,200,0,0.036363636,53,53,55,55,0,6401978,14488,5134603,5134603,0.004,150.001,2131.716,1228.131,3600.157
N3C2W4_CL1_1_5_A.BPPFI, CL1_1_5,200,1,0,36,37,37,37,0,355826,414,296860,296860,0.005,150,326.184,185.256,670.103
N3C2W4_CL1_1_5_B.BPPFI, CL1_1_5,200,0,0.027027027,36,36,37,37,0,2524435,3259,2126141,2126141,0.006,150,2174.065,1218.027,3601.266
N3C2W4_CL1_1_5_C.BPPFI, CL1_1_5,200,0,0.025,39,39,41,40,0,3292334,9448,2723056,2723056,0.006,150,2079.001,1299.784,3600.476
N3C2W4_CL1_1_5_D.BPPFI, CL1_1_5,200,1,0,37,37,37,37,0,0,0,0,0,0.004,0.032,0,0,0.037
N3C2W4_CL1_1_5_E.BPPFI, CL1_1_5,200,0,0.027027027,36,36,37,37,0,4806849,12282,4066781,4066781,0.005,150,2061.582,1293.616,3600.306
N3C2W4_CL2_1_5_A.BPPFI, CL2_1_5,200,0,0.04,48,48,50,50,0,7012195,16938,5601686,5601686,0.006,150.001,2061.609,1278.977,3600.118
