Name,Class,N, #Node, #Node-P,#Col, #PriceCnt, LB0,LB, UB0,UB,Opt,Time
N1C3W2_CL2_1_5_C,CL2_1_5,50,1,0,361,36,11,11,11,11,1,0.03
N1C3W2_CL2_1_5_D,CL2_1_5,50,75,26,1896,435,10,10,11,11,1,5.49
N1C3W2_CL2_1_5_E,CL2_1_5,50,1,0,401,40,11,11,11,11,1,0.05
N1C3W2_CL2_3_3_A,CL2_3_3,50,1,0,370,37,10,10,10,10,1,0.03
N1C3W2_CL2_3_3_B,CL2_3_3,50,924,15,7863,3497,10,10,11,11,1,40.38
N1C3W2_CL2_3_3_C,CL2_3_3,50,1,0,351,35,11,11,11,11,1,0.03
N1C3W2_CL2_3_3_D,CL2_3_3,50,8407,23,37373,32694,10,10,11,10,1,254.05
N1C3W2_CL2_3_3_E,CL2_3_3,50,1,0,451,45,11,11,11,11,1,0.05
N1C3W2_CL2_3_4_A,CL2_3_4,50,1,0,409,41,9,9,9,9,1,0.05
N1C3W2_CL2_3_4_B,CL2_3_4,50,1,0,399,40,9,9,9,9,1,0.03
N1C3W2_CL2_3_4_C,CL2_3_4,50,1,0,470,47,10,10,10,10,1,0.05
N1C3W2_CL2_3_4_D,CL2_3_4,50,1,0,340,34,9,9,10,9,1,0.03
N1C3W2_CL2_3_4_E,CL2_3_4,50,1,0,480,48,10,10,10,10,1,0.05
N1C3W4_CL1_1_3_A,CL1_1_3,50,1,0,342,34,12,12,12,12,1,0.06
N1C3W4_CL1_1_3_B,CL1_1_3,50,1,0,424,44,12,12,13,12,1,0.08
N1C3W4_CL1_1_3_C,CL1_1_3,50,1,0,323,32,13,13,13,13,1,0.03
N1C3W4_CL1_1_3_D,CL1_1_3,50,1,0,362,36,12,12,12,12,1,0.03
N1C3W4_CL1_1_3_E,CL1_1_3,50,1,0,353,35,13,13,13,13,1,0.03
N1C3W4_CL1_1_5_A,CL1_1_5,50,1,0,488,49,8,8,8,8,1,0.05
